Flight No.,Date,Year,Time,Class,Launch outcome,Launch Site,Lat,Long,Hour,Launch site,Payload,Payload Mass(kg),Orbit,Customer,Company,Ownership,Industry,Continent,Country,Booster Family,Version Booster,Booster landing,Description
11,2014-08-05,2014,08:00:00,0,Success,Cape Canaveral,28.396837,-80.605659,8,Cape Canaveral,AsiaSat 8,4535.0,GTO,AsiaSat,AsiaSat,Private,Satellite,Asia,Hong Kong,F9-v1.1,F9 v1.1,No attempt,First time SpaceX managed a launch site turnaround between two flights of under a month (22 days). GTO launch of the large communication satellite from Hong Kong did not allow for propulsive return-over-water and controlled splashdown of the first stage.[58]
12,2014-09-07,2014,05:00:00,0,Success,Cape Canaveral,28.396837,-80.605659,5,Cape Canaveral,AsiaSat 6,4428.0,GTO,AsiaSat,AsiaSat,Private,Satellite,Asia,Hong Kong,F9-v1.1,F9 v1.1,No attempt,Launch was delayed for two weeks for additional verifications after a malfunction observed in the development of the F9R Dev1 prototype.[61] GTO launch of the heavy payload did not allow for controlled splashdown.[62]
13,2014-09-21,2014,05:52:00,0,Success,Cape Canaveral,28.396837,-80.605659,5,Cape Canaveral,SpaceX CRS-4,2216.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.1,F9 v1.1,Uncontrolled,Fourth attempt of a soft ocean touchdown[66] but the booster ran out of liquid oxygen.[65] Detailed thermal imaging infrared sensor data was collected however by NASA as part of a joint arrangement with SpaceX as part of research on retropropulsive deceleration technologies for developing new approaches to Martian atmospheric entry.[66]
14,2015-01-10,2015,09:47:00,0,Success,Cape Canaveral,28.396837,-80.605659,9,Cape Canaveral,SpaceX CRS-5,2395.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.1,F9 v1.1,Failure ,Following second-stage separation SpaceX attempted to return the first stage for the first time to a 90 m × 50 m (300 ft × 160 ft) floating platform — called the autonomous spaceport drone ship. The test achieved many objectives and returned a large amount of data but the grid-fin control surfaces used for the first time for more precise reentry positioning ran out of hydraulic fluid for its control system a minute before landing resulting in a landing crash.[72]
15,2015-02-11,2015,23:03:00,1,Success,Cape Canaveral,28.396837,-80.605659,23,Cape Canaveral,DSCOVR,570.0,,USAF,USAF,Government,Defense,North America,USA,F9-v1.1,F9 v1.1,Controlled,First launch under USAF's OSP 3 launch contract.[75] First SpaceX launch to put a satellite beyond a geostationary transfer orbit first SpaceX launch into interplanetary space and first SpaceX launch of an American research satellite. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target.[76] The satellite launched into a 187 km x 1241000 km insertion orbit toward the Sun-Earth L1 point.[77]
16,2015-03-02,2015,03:50:00,0,Success,Cape Canaveral,28.396837,-80.605659,3,Cape Canaveral,ABS-3A,4159.0,GTO,ABS,ABS,Private,Satellite,Asia,Hong Kong,F9-v1.1,F9 v1.1,No attempt,The launch was Boeing's first conjoined launch of a lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle.[80][81] Per satellite launch costs were less than US$30 million.[82] The ABS satellite reached its final destination ahead of schedule and started operations on 10 September 2015.[83]
17,2015-04-14,2015,20:10:00,0,Success,Cape Canaveral,28.396837,-80.605659,20,Cape Canaveral,SpaceX CRS-6,1898.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.1,F9 v1.1,Failure,After second-stage separation a controlled-descent test was attempted with the first stage. After the booster contacted the ship it tipped over due to excess lateral velocity caused by a stuck throttle valve that delayed downthrottle at the correct time.[86][87]
18,2015-04-27,2015,23:03:00,0,Success,Cape Canaveral,28.396837,-80.605659,23,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,4707.0,GTO,,,,,,,F9-v1.1,F9 v1.1,No attempt,Original intended launch was delayed over a month after an issue with the helium pressurisation system was identified on similar parts in the assembly plant.[92] Subsequent launch successfully positioned this first Turkmen satellite at 52.0° east.
19,2015-06-28,2015,14:21:00,1,Failure,Cape Canaveral,28.396837,-80.605659,14,Cape Canaveral,SpaceX CRS-7,1952.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.1,F9 v1.1,Precluded,Launch performance was nominal until an overpressure incident in the second-stage LOX tank leading to vehicle breakup at T+150 seconds. Dragon capsule survived the explosion but was lost upon splashdown as its software did not contain provisions for parachute deployment on launch vehicle failure.[97](more details below) The drone ship Of Course I Still Love You was towed out to sea to prepare for a landing test so this mission was its first operational assignment.[98]
20,2015-12-22,2015,01:29:00,1,Success,Cape Canaveral,28.396837,-80.605659,1,Cape Canaveral,Orbcomm-OG2,2034.0,LEO,Orbcomm,Orbcomm,Private,Communications,North America,USA,F9-FT,F9 FT,Success,Payload included eleven satellites weighing 172  (379 lb) each[25] and a 142  (313 lb) mass simulator.[53] First launch of the upgraded v1.1 version with a 30% power increase.[102] Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket[103] but the change to the maiden flight position was announced in October 2015.[102] SpaceX received a permit from the FAA to land the booster on solid ground at Cape Canaveral[104] and succeeded for the first time.[101] This booster serial number B1019 is now on permanent display outside SpaceX's headquarters in Hawthorne California at the intersection of Crenshaw Boulevard and Jack Northrop Avenue.[100] (more details below)
21,2016-01-17,2016,18:42:00,0,Success,VAFB,34.632834,-120.610746,18,VAFB,Jason-3,553.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-v1.1,F9 v1.1,Failure,First launch of NASA and NOAA joint science mission under the NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts) and last launch of the Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit.[107]  SpaceX attempted for the first time to recover the first-stage booster on its new Pacific autonomous drone ship but after a soft landing on the ship the lockout on one of the landing legs failed to latch and the booster fell over and exploded.[108][109]
22,2016-03-04,2016,23:35:00,0,Success,Cape Canaveral,28.396837,-80.605659,23,Cape Canaveral,SES-9,5271.0,GTO,SES,SES,Private,Satellite,Europe,Luxembourg,F9-FT,F9 FT,Failure,"Second launch of the enhanced Falcon 9 Full Thrust launch vehicle.[102] SpaceX attempted for the first time to recover a booster from a GTO launch to a drone ship.[113] Successful landing was not expected due to low fuel reserves[114] and the booster ""landed hard"".[115] But the controlled-descent atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9 boosters.[116]"
23,2016-04-08,2016,20:43:00,1,Success,Cape Canaveral,28.396837,-80.605659,20,Cape Canaveral,SpaceX CRS-8,3136.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-FT,F9 FT,Success,Dragon carried over 1500  (3300 lb) of supplies and delivered the inflatable Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests.[121] The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship at 9 minutes after liftoff making this the first successful landing of a rocket booster on a ship at sea from an orbital launch.[122] The first stage B1021 later became the first orbital booster to be reused when it launched SES-10 on 30 March 2017.[117] A month later the Dragon spacecraft returned a downmass containing astronaut's Scott Kelly biological samples from his year-long mission on ISS.[123](more details below)
24,2016-05-06,2016,05:21:00,1,Success,Cape Canaveral,28.396837,-80.605659,5,Cape Canaveral,JCSAT-14,4696.0,GTO,SKY Perfect JSAT Group,SKY Perfect JSAT Group,Private,Communications,Asia,Japan,F9-FT,F9 FT,Success,First time SpaceX launched a Japanese satellite and first time a booster landed successfully after launching a payload into a GTO.[127] As this flight profile has a smaller margin for the booster recovery the first stage re-entered Earth's atmosphere faster than for previous landings with five times the heating power.[128][129]
25,2016-05-27,2016,21:39:00,1,Success,Cape Canaveral,28.396837,-80.605659,21,Cape Canaveral,Thaicom 8,3100.0,GTO,Thaicom,Thaicom,Private,Communications,Asia,Thailand,F9-FT,F9 FT,Success,Second successful return from a GTO launch[136] after launching Thaicom 8 towards 78.5° east.[137] Later became the first booster to be reflown after being recovered from a GTO launch. THAICOM 8 was delivered to a Super-Synchronous Transfer Orbit of 91000 km (57000 mi).[138]
26,2016-06-15,2016,14:29:00,0,Success,Cape Canaveral,28.396837,-80.605659,14,Cape Canaveral,ABS-2A,3600.0,GTO,ABS,ABS,Private,Satellite,Asia,Hong Kong,F9-FT,F9 FT,Failure,One year after pioneering this technique on Flight 16 Falcon again launched two Boeing 702SP gridded ion thruster satellites at 1800  (4000 lb) each[139][140] in a dual-stack configuration with the two customers sharing the rocket and mission costs.[83] First-stage landing attempt on drone ship failed due to low thrust on one of the three landing engines;[141] a sub-optimal path led to the stage running out of propellant just above the deck of the landing ship[142] slamming to the drone ship breaking a leg and falling over.
27,2016-07-18,2016,04:45:00,1,Success,Cape Canaveral,28.396837,-80.605659,4,Cape Canaveral,SpaceX CRS-9,2257.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-FT,F9 FT,Success,Cargo to ISS included an International Docking Adapter (IDA-2) and total payload with reusable Dragon Capsule was 6457  (14235 lb). Second successful first-stage landing on a ground pad.[145]
28,2016-08-14,2016,05:26:00,1,Success,Cape Canaveral,28.396837,-80.605659,5,Cape Canaveral,JCSAT-16,4600.0,GTO,SKY Perfect JSAT Group,SKY Perfect JSAT Group,Private,Communications,Asia,Japan,F9-FT,F9 FT,Success,First attempt to land from a ballistic trajectory using a single-engine landing burn as all previous landings from a ballistic trajectory had fired three engines on the final burn. The latter provides more braking force but subjects the vehicle to greater structural stresses while the single-engine landing burn takes more time and fuel while allowing more time during final descent for corrections.[146]
29,2017-01-14,2017,17:54:00,1,Success,VAFB,34.632834,-120.610746,17,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-FT,F9 FT,Success,Return-to-flight mission after the loss of Amos-6 in September 2016. This was the first launch of a series of Iridium NEXT satellites intended to replace the original Iridium constellation launched in the late 1990s. Each Falcon 9 mission carried 10 satellites with a goal of 66 plus 9 spare[157] satellites constellation by mid-2018.[158][159] Following the delayed launch of the first two Iridium units with a Dnepr rocket from April 2016 Iridium Communications decided to launch the first batch of 10 satellites with SpaceX instead.[160] Payload comprised ten satellites weighing 860  (1900 lb) each plus a 1000  (2200 lb) dispenser.[161]
30,2017-02-19,2017,14:39:00,1,Success,KSC,28.608954234362187,-80.60429756306883,14,KSC,SpaceX CRS-10,2490.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-FT,F9 FT,Success,First Falcon 9 flight from the historic LC-39A launchpad at Kennedy Space Center and first uncrewed launch from LC-39A since Skylab-1.[163] The flight carried supplies and materials to support ISS Expeditions 50 and 51 and third return of first stage booster to landing pad at Cape Canaveral Landing Zone 1.[164]
31,2017-03-16,2017,06:00:00,0,Success,KSC,28.608954234362187,-80.60429756306883,6,KSC,EchoStar 23,5600.0,GTO,EchoStar,EchoStar,Private,Communications,North America,USA,F9-FT,F9 FT,No attempt,First uncrewed non-station launch from LC-39A since Apollo 6.[163] Launched a communications satellite for broadcast services over Brazil.[168] Due to the payload size launch into a GTO the booster was expended into the Atlantic Ocean and did not feature landing legs and grid fins.[169]
32,2017-03-30,2017,22:27:00,1,Success,KSC,28.608954234362187,-80.60429756306883,22,KSC,SES-10,5300.0,GTO,SES,SES,Private,Satellite,Europe,Luxembourg,F9-FT,F9 FT♺,Success,First payload to fly on a reused first stage B1021 previously launched with CRS-8 and first to land intact a second time.[173][172] Additionally this flight was the first reused rocket to fly from LC-39A since STS-135 and for the first time the payload fairing used to protect the payload during launch remained intact after a successful splashdown achieved with thrusters and a steerable parachute.[174][175](more details below)
33,2017-05-01,2017,11:15:00,1,Success,KSC,28.608954234362187,-80.60429756306883,11,KSC,NROL-76,,LEO,NRO,NRO,Government,Defense,North America,USA,F9-FT,F9 FT,Success,First launch under SpaceX's 2015 certification for national security space missions which allowed SpaceX to contract launch services for classified payloads[178] and thus breaking the monopoly United Launch Alliance (ULA) held on classified launches since 2006.[179] For the first time SpaceX offered continuous livestream of first stage booster from liftoff to landing but omitted second-stage speed and altitude telemetry.[180]
34,2017-05-15,2017,23:21:00,0,Success,KSC,28.608954234362187,-80.60429756306883,23,KSC,Inmarsat-5 F4,6070.0,GTO,Inmarsat,Inmarsat,Private,Satellite,Europe,UK,F9-FT,F9 FT,No attempt,"The launch was originally scheduled for the Falcon Heavy but performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead.[184]  Inmarsat-5 F4 is Inmarsat's ""largest and most complicated communications satellite ever built"".[185] Inmarsat 5 F4 was delivered into an arcing ""supersynchronous"" transfer orbit of 381 km × 68839 km (237 mi × 42775 mi) in altitude tilted 24.5° to the equator.[186]"
35,2017-06-03,2017,21:07:00,1,Success,KSC,28.608954234362187,-80.60429756306883,21,KSC,SpaceX CRS-11,2708.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-FT,F9 FT,Success,This mission delivered Neutron Star Interior Composition Explorer (NICER)[189] Multiple User System for Earth Sensing Facility (MUSES)[190] Roll Out Solar Array (ROSA)[191] an Advanced Plant Habitat to the ISS[192][193] and Birds-1 payloads. This mission launched for the first time a refurbished Dragon capsule[194] serial number C106 which had flown in September 2014 on the SpaceX CRS-4 mission[187] and was the first time since 2011 a reused spacecraft arrived at the ISS.[195] Five cubesats were included in the payload the first satellites from the countries of Bangladesh (BRAC Onnesha) Ghana (GhanaSat-1) and Mongolia (Mazaalai).[196]
36,2017-06-23,2017,19:10:00,1,Success,KSC,28.608954234362187,-80.60429756306883,19,KSC,BulgariaSat-1,3669.0,GTO,Bulsatcom,Bulsatcom,Private,Communications,Europe,Bulgaria,F9-FTB1,F9 FTB1029.2,Success,Second time a booster was reused as B1029 had flown the Iridium mission in January 2017.[197] This was the first commercial Bulgarian-owned communications satellite.[197]
37,2017-06-25,2017,20:25:00,1,Success,VAFB,34.632834,-120.610746,20,VAFB,Iridium NEXT,9600.0,LEO,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-FT,F9 FT,Success,Second Iridium constellation launch of 10 satellites and first flight using titanium (instead of aluminium) grid fins to improve control authority and better cope with heat during re-entry.[201]
38,2017-07-05,2017,23:38:00,0,Success,KSC,28.608954234362187,-80.60429756306883,23,KSC,Intelsat 35e,6761.0,GTO,Intelsat,Intelsat,Private,Satellite,North America,USA,F9-FT,F9 FT,No attempt,Originally expected to be flown on a Falcon Heavy[205] improvements to the Merlin engines meant that the heavy satellite could be flown to GTO in an expendable configuration of Falcon 9.[206] The rocket achieved a supersynchronous orbit peaking at 43000 km (27000 mi) exceeding the minimum requirements of 28000 km (17000 mi).[207] Intelsat 35e is the largest Intelsat's currently active satellite.[208]
39,2017-08-14,2017,16:31:00,1,Success,KSC,28.608954234362187,-80.60429756306883,16,KSC,SpaceX CRS-12,3310.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B4,F9 B4,Success,"Dragon carried 2349  (5179 lb) of pressurized and 961  (2119 lb) unpressurized mass including the Cosmic Ray Energetics and Mass Experiment (CREAM) detector.[192] First flight of the upgrade known informally as ""Block 4"" which increases thrust from the main engines and includes other small upgrades[209] and last flight of a newly built Dragon capsule as further missions are planned to use refurbished spacecraft.[210] Also launched the Educational Launch of Nanosatellites ELaNa 22 mission.[50]"
40,2017-08-24,2017,18:51:00,1,Success,VAFB,34.632834,-120.610746,18,VAFB,Formosat-5,475.0,SSO,NSPO,NSPO,Government,Research,Asia,Taiwan,F9-FT,F9 FT,Success,First Earth observation satellite developed and constructed by Taiwan. The payload was much under the rocket's specifications as the Spaceflight Industries SHERPA space tug had been removed from the cargo manifest of this mission[215] leading to analyst speculations that with discounts due to delays SpaceX lost money on the launch.[216]
41,2017-09-07,2017,14:00:00,1,Success,KSC,28.608954234362187,-80.60429756306883,14,KSC,Boeing X-37B,4990.0,LEO,USAF,USAF,Government,Defense,North America,USA,F9-B4,F9 B4,Success,Due to the classified nature of the mission the second-stage speed and altitude telemetry were omitted from the launch webcast. Notably the primary contractor Boeing had launched the X-37B with ULA a Boeing partnership and a SpaceX competitor.[219] Second flight of the Falcon 9 Block 4 upgrade.[220]
42,2017-10-09,2017,12:37:00,1,Success,VAFB,34.632834,-120.610746,12,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-B4,F9 B4,Success,Third flight of the Falcon 9 Block 4 upgrade and the third launch of 10 Iridium NEXT satellites.[221]
43,2017-10-11,2017,22:53:00,1,Success,KSC,28.608954234362187,-80.60429756306883,22,KSC,SES-11,5400.0,GTO,SES S.A.,SES S.A.,Private,Satellite,Europe,Luxembourg,F9-FTB1,F9 FTB1031.2,Success,"Third reuse and recovery of a previously flown first-stage booster and the second time the contractor SES used a reflown booster.[222] The large satellite is shared in ""CondoSat"" arrangement between SES and EchoStar.[225]"
44,2017-10-30,2017,19:34:00,1,Success,KSC,28.608954234362187,-80.60429756306883,19,KSC,Koreasat 5A,3500.0,GTO,KT Corporation,KT Corporation,Private,Communications,Asia,South Korea,F9-B4,F9 B4,Success,First SpaceX launch of a South Korean satellite placed in GEO at 113.0° east.[227] It was the third launch and land for SpaceX in three weeks and the 15th successful landing in a row.[228] A small fire was observed under the booster after it landed leading to speculations about damages to the engines which would preclude it from flying it again.[229]
45,2017-12-15,2017,15:36:00,1,Success,Cape Canaveral,28.396837,-80.605659,15,Cape Canaveral,SpaceX CRS-13,2205.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-FTB1,F9 FTB1035.2,Success,First launch to take place at the refurbished pad at Cape Canaveral after the 2016 Amos-6 explosion and the 20th successful booster landing. Being the second reuse of a Dragon capsule (previously flown on SpaceX CRS-6) and fourth reuse of a booster (previously flown on SpaceX CRS-11) it was the first time both major components were reused on the same flight.[232][231]
46,2017-12-23,2017,01:27:00,1,Success,VAFB,34.632834,-120.610746,1,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-FTB1,F9 FTB1036.2,Controlled,In order to avoid delays and convinced of no increased risks Iridium Communications accepted the use of a recovered booster for its 10 satellites and became the first customer to fly the same first-stage booster twice (from the second Iridium NEXT mission).[235][236] SpaceX chose not to attempt recovery of the booster but did perform a soft ocean touchdown.[237]
47,2018-01-08,2018,01:00:00,1,Success,CCAFS,28.562302,-80.577356,1,CCAFS,Zuma,,LEO,Northrop Grumman,Northrop Grumman,Private,Defense,North America,USA,F9-B4,F9 B4,Success,The mission had been postponed by nearly two months. Following a nominal launch the recovery of the first-stage booster marked the 17th successful recovery in a row.[243] Rumors appeared that the payload was lost as the satellite might have failed to separate from the second stage due to a fault in the Northrop Grumman-manufactured payload adapter to which SpaceX announced that their rocket performed nominally.[244] The classified nature of the mission means that there is little confirmed information.(more details below)
48,2018-01-31,2018,21:25:00,1,Success,CCAFS,28.562302,-80.577356,21,CCAFS,GovSat-1,4230.0,GTO,SES,SES,Private,Satellite,Europe,Luxembourg,F9-FTB1,F9 FTB1032.2,Controlled,Reused booster from the classified NROL-76 mission in May 2017.[246] Following a successful experimental soft ocean landing that used three engines the booster unexpectedly remained intact. Despite initial talk about a potential recovery effort the decision was instead made to intentionally destroy and sink the booster.[250] GovSat-1 satellite was put into a high-energy Supersynchronous Transfer Orbit of 250 km × 51500 km (160 mi × 32000 mi).[251][252]
49,2018-02-22,2018,14:17:00,0,Success,VAFB,34.632834,-120.610746,14,VAFB,Paz,2150.0,SSO,Hisdesat,Hisdesat,Private,Communications,Europe,Spain,F9-FTB1,F9 FTB1038.2,No attempt,Last flight of a Block 3 first stage. Reused the booster from the Formosat-5 mission.[268] Paz (peace) is Spain's first spy satellite[272] that will be operated in a constellation with the German SAR fleet TSX and TDX.[269] In addition the rocket carried two SpaceX test satellites for their forthcoming communications network in low Earth orbit.[273][270] This core flew without landing legs and was expended at sea.[273] It also featured an upgraded payload fairing 2.0 with a first recovery attempt using the Mr. Steven crew boat equipped with a net. The fairing narrowly missed the boat but achieved a soft water landing.[274][275][271]
50,2018-03-06,2018,05:33:00,0,Success,CCAFS,28.562302,-80.577356,5,CCAFS,Hispasat 30W-6,6092.0,GTO,Hispasat,Hispasat,Private,Communications,South America,Panama,F9-B4,F9 B4,No attempt,"The Spanish commsat was the largest satellite flown by SpaceX as of March 2018[update] ""nearly the size of a bus"".[282] A drone ship landing was planned but scrapped due to unfavorable weather conditions.[281] SpaceX left the landing legs and titanium grid fins in place to prevent further delays after previous concerns with the fairing pressurization and conflicts with the launch of GOES-S.[283] The Hispasat 30W-6 satellite was propelled into a supersynchronous transfer orbit.[284]"
51,2018-03-30,2018,14:14:00,0,Success,VAFB,34.632834,-120.610746,14,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-B4B1,F9 B4B1041.2,No attempt,Fifth Iridium NEXT mission launch of 10 satellites used the refurbished booster from third Iridium flight. As with recent reflown boosters SpaceX used the controlled descent of the first stage to test more booster recovery options.[288] SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven[289] but the parafoil twisted which led to the fairing half missing the boat.[290]
52,2018-04-02,2018,20:30:00,0,Success,CCAFS,28.562302,-80.577356,20,CCAFS,SpaceX CRS-14,2647.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B4B1,F9 B4B1039.2,No attempt,The launch used a refurbished booster (from CRS-12) and a refurbished capsule (C110 from CRS-8).[292] External payloads include a materials research platform Materials International Space Station Experiment (MISSE-FF)[295] phase 3 of the Robotic Refueling Mission (RRM)[296] TSIS[297] ASIM heliophysics sensor[192] several crystallization experiments[298] and the RemoveDEBRIS system aimed at space debris removal.[299] The booster was expended and SpaceX collected more data on reentry profiles.[300] It also carried the first Costa Rican satellite Project Irazú[301] and the first Kenyan satellite 1KUNS-PF.[302]
